energy_pos,l_z_pos,energy_neg,l_z_neg
-170024.99036301355,895.128986511951,-170024.99036301355,-895.128986511951
-168511.57073948544,921.1292350901407,-168511.57073948544,-921.1292350901407
-167040.0797566579,946.9679085786553,-167040.0797566579,-946.9679085786553
-165609.06616845334,972.6440091012996,-165609.06616845334,-972.6440091012996
-164217.09442619156,998.1574211902381,-164217.09442619156,-998.1574211902381
-162862.75175551572,1023.508787520914,-162862.75175551572,-1023.508787520914
-161544.6538684893,1048.6993976893225,-161544.6538684893,-1048.6993976893225
-160261.44948468445,1073.731089030774,-160261.44948468445,-1073.731089030774
-159011.8238208672,1098.6061584883653,-159011.8238208672,-1098.6061584883653
-157794.50119410007,1123.3272845671922,-157794.50119410007,-1123.3272845671922
-156608.2468683508,1147.8974584512557,-156608.2468683508,-1147.8974584512557
-155451.86826045346,1172.3199234098045,-155451.86826045346,-1172.3199234098045
-154324.2156078004,1196.598121675,-154324.2156078004,-1196.598121675
-153224.18218762215,1220.7356480306826,-153224.18218762215,-1220.7356480306826
-152150.7041662321,1244.7362094106709,-152150.7041662321,-1244.7362094106709
-151102.76014619932,1268.6035898629248,-151102.76014619932,-1268.6035898629248
-150079.370470059,1292.341620292066,-150079.370470059,-1292.341620292066
-149079.59633083091,1315.9541524462873,-149079.59633083091,-1315.9541524462873
-148102.53873223672,1339.4450366653118,-148102.53873223672,-1339.4450366653118
-147147.33733501038,1362.8181029533196,-147147.33733501038,-1362.8181029533196
-146213.169220018,1386.0771449846236,-146213.169220018,-1386.0771449846236
-145299.2475939506,1409.2259066903157,-145299.2475939506,-1409.2259066903157
-144404.820459069,1432.2680711111148,-144404.820459069,-1432.2680711111148
-143529.1692647766,1455.2072512354157,-143529.1692647766,-1455.2072512354157
-142671.60755561708,1478.0469825722603,-142671.60755561708,-1478.0469825722603
-141831.47962756868,1500.7907172366306,-141831.47962756868,-1500.7907172366306
-141008.15920218723,1523.4418193495774,-141008.15920218723,-1523.4418193495774
-140201.04812617728,1546.003561578166,-140201.04812617728,-1546.003561578166
-139409.57510230297,1568.4791226604368,-139409.57510230297,-1568.4791226604368
-138633.19445614656,1590.8715857787065,-138633.19445614656,-1590.8715857787065
-137871.3849420441,1613.183937660648,-137871.3849420441,-1613.183937660648
-137123.64859054732,1635.4190683020477,-137123.64859054732,-1635.4190683020477
-136389.50959894503,1657.5797712179572,-136389.50959894503,-1657.5797712179572
-135668.51326570657,1679.6687441403772,-135668.51326570657,-1679.6687441403772
-134960.22496916054,1701.6885900907484,-134960.22496916054,-1701.6885900907484
-134264.22919027653,1723.6418187645138,-134264.22919027653,-1723.6418187645138
-133580.12857905866,1745.5308481729571,-133580.12857905866,-1745.5308481729571
-132907.54306377773,1767.3580064946052,-132907.54306377773,-1767.3580064946052
-132246.10900204544,1789.1255340946534,-132246.10900204544,-1789.1255340946534
-131595.47837256597,1810.8355856764024,-131595.47837256597,-1810.8355856764024
-130955.31800627538,1832.4902325335268,-130955.31800627538,-1832.4902325335268
-130325.30885548764,1854.0914648762405,-130325.30885548764,-1854.0914648762405
-129705.14529960966,1875.64119420822,-129705.14529960966,-1875.64119420822
-129094.53448595072,1897.1412557343988,-129094.53448595072,-1897.1412557343988
-128493.1957041382,1918.5934107826695,-128493.1957041382,-1918.5934107826695
-127900.85979265365,1939.9993492250685,-127900.85979265365,-1939.9993492250685
-127317.26857601634,1961.3606918862195,-127317.26857601634,-1961.3606918862195
-126742.17433116816,1982.678992928791,-126742.17433116816,-1982.678992928791
-126175.33928164675,2003.9557422073872,-126175.33928164675,-2003.9557422073872
-125616.53511817154,2025.1923675838023,-125616.53511817154,-2025.1923675838023
-125065.5425443134,2046.3902371978404,-125065.5425443134,-2046.3902371978404
-124522.15084596393,2067.5506616890243,-124522.15084596393,-2067.5506616890243
-123986.15748337118,2088.674896365509,-123986.15748337118,-2088.674896365509
-123457.36770455808,2109.764143317317,-123457.36770455808,-2109.764143317317
-122935.5941789913,2130.8195534718006,-122935.5941789913,-2130.8195534718006
-122420.65665042071,2151.842228589785,-122420.65665042071,-2151.842228589785
-121912.38160785759,2172.833223201455,-121912.38160785759,-2172.833223201455
-121410.6019737125,2193.7935464814536,-121410.6019737125,-2193.7935464814536
-120915.15680816023,2214.724164063089,-120915.15680816023,-2214.724164063089
-120425.89102884724,2235.625999791848,-120425.89102884724,-2235.625999791848
-119942.65514510364,2256.499937418707,-119942.65514510364,-2256.499937418707
-119465.30500586372,2277.346822233973,-119465.30500586372,-2277.346822233973
-118993.70156054385,2298.1674626425624,-118993.70156054385,-2298.1674626425624
-118527.7106321657,2318.9626316817853,-118527.7106321657,-2318.9626316817853
-118067.20270205136,2339.7330684828603,-118067.20270205136,-2339.7330684828603
-117612.05270545527,2360.479479677435,-117612.05270545527,-2360.479479677435
-117162.1398375318,2381.2025407505243,-117162.1398375318,-2381.2025407505243
-116717.34736907182,2401.9028973413065,-116717.34736907182,-2401.9028973413065
-116277.56247147234,2422.5811664932435,-116277.56247147234,-2422.5811664932435
-115842.676050435,2443.237937855087,-115842.676050435,-2443.237937855087
-115412.58258791553,2463.87377483426,-115412.58258791553,-2463.87377483426
-114987.17999187643,2484.4892157041886,-114987.17999187643,-2484.4892157041886
-114566.36945341715,2505.0847746671084,-114566.36945341715,-2505.0847746671084
-114150.05531088311,2525.6609428738725,-114150.05531088311,-2525.6609428738725
-113738.14492057607,2546.2181894022833,-113738.14492057607,-2546.2181894022833
-113330.5485337102,2566.7569621954235,-113330.5485337102,-2566.7569621954235
-112927.17917927913,2587.277688961465,-112927.17917927913,-2587.277688961465
-112527.95255251702,2607.7807780363855,-112527.95255251702,-2607.7807780363855
-112132.78690865682,2628.2666192109805,-112132.78690865682,-2628.2666192109805
-111741.60296170309,2648.7355845235597,-111741.60296170309,-2648.7355845235597
-111354.3237879554,2669.1880290196427,-111354.3237879554,-2669.1880290196427
-110970.87473403172,2689.6242914799573,-110970.87473403172,-2689.6242914799573
-110591.18332915605,2710.0446951179806,-110591.18332915605,-2710.0446951179806
-110215.17920148782,2730.4495482482457,-110215.17920148782,-2730.4495482482457
